Order_ID,Customer_ID,Order_Date,Region,Sales_Channel,Category,Product,Quantity,Unit_Price,Discount
ORD-100233,CUST-1237,2025-11-23,Ontario,Magasin,Maison,Chaise,1,25.82,0.0
ORD-100239,CUST-1041,2025-10-06,Colombie-Britannique,Magasin,Électronique,Clavier,2,728.84,0.0
ORD-102115,CUST-1120,2025-08-27,Alberta,Téléphone,Électronique,Écran,2,207.85,0.1
ORD-107034,CUST-1184,2024-05-23,Colombie-Britannique,En ligne,Beauté,Parfum,1,209.49,0.15
ORD-106981,CUST-0192,2024-03-25,Manitoba,Magasin,Beauté,Maquillage,2,37.64,0.05
ORD-101886,CUST-0516,2025-07-03,Colombie-Britannique,Magasin,Maison,Lampe,3,405.13,0.0
ORD-100811,CUST-1335,2025-06-11,Alberta,En ligne,Maison,Lampe,1,220.58,0.0
ORD-105505,CUST-1157,2025-05-19,Manitoba,Magasin,Vêtements,Manteau,1,224.18,0.0
ORD-103357,CUST-0082,2024-09-19,Manitoba,Téléphone,Vêtements,Chaussures,2,286.15,0.0
ORD-103608,CUST-0885,2024-10-17,Colombie-Britannique,Téléphone,Vêtements,Veste,1,232.26,0.0
ORD-105663,CUST-0270,2024-02-23,Manitoba,Téléphone,Maison,Mixeur,2,149.89,0.05
ORD-100334,CUST-1138,2025-04-24,Manitoba,En ligne,Beauté,Soin visage,5,62.98,0.1
ORD-103995,CUST-1414,2025-02-26,Manitoba,Téléphone,Sports,Ballon,1,86.5,0.1
ORD-104395,CUST-0493,2024-12-03,Alberta,Magasin,Électronique,Clavier,5,42.13,0.15
ORD-105045,CUST-0124,2024-10-18,Manitoba,Téléphone,Beauté,Soin visage,2,40.57,0.05
ORD-105761,CUST-0413,2025-08-17,Colombie-Britannique,Magasin,Électronique,Souris,3,487.41,0.0
ORD-102399,CUST-0523,2024-06-14,Colombie-Britannique,Téléphone,Vêtements,Manteau,1,212.63,0.0
ORD-102304,CUST-0963,2024-12-29,Colombie-Britannique,Magasin,Sports,Vélo,1,612.62,0.05
ORD-101400,CUST-1383,2025-07-03,Alberta,En ligne,Maison,Mixeur,1,220.77,0.05
ORD-107733,CUST-0024,2024-08-28,Québec,Magasin,Sports,Ballon,5,687.45,0.05
ORD-106383,CUST-0875,2025-01-24,Alberta,En ligne,Maison,Chaise,1,387.87,0.1
ORD-102638,CUST-1488,2025-04-27,Manitoba,En ligne,Beauté,Crème,1,139.43,0.0
ORD-105307,CUST-1160,2025-08-31,Manitoba,Téléphone,Maison,Chaise,5,43.94,0.0
ORD-100319,CUST-0325,2025-01-26,Ontario,En ligne,Sports,Vélo,1,228.18,0.1
ORD-102726,CUST-0356,2024-08-27,Colombie-Britannique,En ligne,Vêtements,T-shirt,2,90.91,0.15
ORD-102955,CUST-1493,2024-04-12,Ontario,Magasin,Beauté,Parfum,1,206.62,0.0
ORD-105832,CUST-1204,2025-06-02,Alberta,En ligne,Maison,Chaise,1,441.91,0.1
ORD-107580,CUST-0290,2025-08-29,Ontario,Magasin,Sports,Tapis yoga,2,653.63,0.0
ORD-101575,CUST-0475,2025-09-09,Québec,En ligne,Vêtements,Jean,5,70.11,0.15
ORD-101739,CUST-0108,2024-08-28,Alberta,Téléphone,Beauté,Parfum,2,17.52,0.0
ORD-103184,CUST-0163,2025-09-03,Alberta,Téléphone,Sports,Vélo,2,122.91,0.05
ORD-104310,CUST-1445,2025-05-27,Manitoba,Téléphone,Électronique,Clavier,1,830.58,0.05
ORD-104139,CUST-0946,2024-09-16,Colombie-Britannique,En ligne,Maison,Lampe,1,426.17,0.0
ORD-104302,CUST-0644,2024-02-16,Colombie-Britannique,En ligne,Vêtements,Manteau,2,15.14,0.0
ORD-106599,CUST-0635,2025-12-09,Québec,Magasin,Vêtements,Manteau,1,28.21,0.05
ORD-102263,CUST-0096,2024-12-17,Ontario,Téléphone,Beauté,Maquillage,1,226.7,0.0
ORD-104489,CUST-0455,2025-09-18,Québec,Téléphone,Maison,Aspirateur,1,81.47,0.1
ORD-105482,CUST-0181,2025-02-12,Manitoba,Magasin,Électronique,Casque audio,2,528.16,0.0
ORD-105103,CUST-1170,2025-10-28,Ontario,Magasin,Sports,Vélo,1,600.94,0.0
ORD-100866,CUST-1142,2025-12-01,Alberta,Téléphone,Maison,Lampe,1,259.6,0.1
ORD-106643,CUST-1038,2025-06-16,Alberta,Magasin,Électronique,Écran,2,837.77,0.0
ORD-101193,CUST-1357,2025-11-17,Ontario,Magasin,Sports,Sac sport,2,254.91,0.15
ORD-106061,CUST-0436,2025-12-14,Ontario,En ligne,Électronique,Clavier,3,880.62,0.0
ORD-106223,CUST-1248,2025-03-06,Colombie-Britannique,Téléphone,Sports,Ballon,3,132.09,0.0
ORD-104275,CUST-1339,2025-04-11,Ontario,Téléphone,Maison,Mixeur,3,374.07,0.05
ORD-102094,CUST-0964,2024-07-03,Manitoba,Téléphone,Maison,Chaise,2,259.22,0.05
ORD-103274,CUST-0706,2025-11-10,Québec,Téléphone,Maison,Aspirateur,2,205.84,0.1
ORD-101328,CUST-1485,2024-08-02,Québec,En ligne,Maison,Lampe,1,120.74,0.05
ORD-100222,CUST-1453,2024-06-06,Ontario,En ligne,Vêtements,Jean,2,128.2,0.05
ORD-104888,CUST-0840,2025-01-17,Manitoba,Téléphone,Beauté,Maquillage,2,110.53,0.15
ORD-100763,CUST-0105,2025-05-09,Alberta,En ligne,Électronique,Casque audio,1,63.56,0.2
ORD-104943,CUST-0321,2025-12-15,Manitoba,En ligne,Beauté,Maquillage,5,158.64,0.0
ORD-100696,CUST-0590,2024-03-15,Ontario,En ligne,Maison,Aspirateur,3,471.84,0.1
ORD-107109,CUST-0496,2024-12-14,Ontario,Magasin,Maison,Cafetière,1,253.62,
ORD-105650,CUST-1203,2025-11-09,Alberta,Magasin,Maison,Chaise,2,244.02,0.1
ORD-105327,CUST-1072,2025-09-04,Alberta,En ligne,Sports,Sac sport,3,639.24,0.1
ORD-104482,CUST-0095,2024-12-30,Québec,Magasin,Vêtements,Manteau,3,214.11,0.0
ORD-107214,CUST-0468,2025-05-25,Ontario,EN LIGNE,Sports,Sac sport,2,548.27,0.0
ORD-107946,CUST-0572,2025-08-21,Manitoba,Téléphone,Beauté,Maquillage,1,199.91,0.0
ORD-101558,CUST-0016,2024-04-20,Québec,Téléphone,Maison,Aspirateur,1,123.23,0.1
ORD-101383,CUST-0837,2024-01-23,Colombie-Britannique,En ligne,Électronique,Écran,3,129.28,0.0
ORD-106392,CUST-0976,2024-10-31,Colombie-Britannique,Magasin,Sports,Sac sport,2,169.83,0.05
ORD-106689,CUST-1246,2024-03-07,Colombie-Britannique,Téléphone,Maison,Chaise,2,257.49,0.15
ORD-107724,CUST-1194,2024-10-31,Alberta,En ligne,Vêtements,T-shirt,2,18.42,0.2
ORD-101374,CUST-0002,2024-08-20,Québec,Téléphone,Maison,Cafetière,1,440.06,0.15
ORD-103605,CUST-0586,2024-06-19,Colombie-Britannique,Téléphone,Beauté,Maquillage,1,35.61,0.0
ORD-104157,CUST-0289,2025-07-08,Ontario,En ligne,Maison,Mixeur,5,200.8,0.1
ORD-101888,CUST-0060,2025-09-28,Alberta,Téléphone,Électronique,Casque audio,1,762.4,0.0
ORD-105027,CUST-0992,2024-09-23,Ontario,En ligne,Sports,Ballon,2,240.15,0.2
ORD-104603,CUST-1094,2024-04-28,Alberta,En ligne,Vêtements,Manteau,2,183.62,0.0
ORD-102676,CUST-0998,2024-09-14,Colombie-Britannique,Magasin,Électronique,Casque audio,1,297.7,0.05
ORD-104975,CUST-0661,2024-12-22,Québec,En ligne,Maison,Cafetière,1,236.73,0.15
ORD-104817,CUST-0614,2025-10-05,Manitoba,En ligne,Beauté,Soin visage,1,90.55,0.15
ORD-105001,CUST-1496,2025-04-02,Colombie-Britannique,Magasin,Vêtements,Chaussures,2,112.52,0.0
ORD-103891,CUST-1215,2024-09-08,Ontario,Magasin,Sports,Ballon,2,430.56,0.05
ORD-106416,CUST-0122,2025-12-08,Alberta,Téléphone,Vêtements,Manteau,1,135.96,0.0
ORD-103050,CUST-0684,2025-08-04,Alberta,Magasin,Électronique,Tablette,4,713.27,0.1
ORD-105405,CUST-0752,2025-07-30,Québec,Téléphone,Sports,Vélo,1,679.49,0.15
ORD-103463,CUST-1042,2024-08-12,Québec,Téléphone,Électronique,Casque audio,1,494.69,0.1
ORD-102758,CUST-0457,2025-04-27,Ontario,Téléphone,Vêtements,T-shirt,2,43.69,0.05
ORD-102755,CUST-0096,2024-05-24,Colombie-Britannique,Magasin,Beauté,Soin visage,1,234.66,0.15
ORD-101163,CUST-1357,2024-08-11,Manitoba,Magasin,Maison,Cafetière,2,310.04,0.15
ORD-100540,CUST-0278,2024-10-26,Ontario,Magasin,Vêtements,Jean,1,59.55,0.1
ORD-106734,CUST-0126,2025-12-25,Québec,Magasin,Beauté,Parfum,2,171.74,0.0
ORD-101017,CUST-1496,2024-04-19,Alberta,Magasin,Électronique,Clavier,2,492.23,0.1
ORD-101281,CUST-0669,2024-02-04,Alberta,Magasin,Électronique,Casque audio,2,868.81,0.0
ORD-102166,CUST-0017,2025-08-07,Colombie-Britannique,En ligne,Électronique,Souris,1,532.7,0.05
ORD-106151,CUST-0304,2024-03-13,Manitoba,Téléphone,Sports,Ballon,3,619.79,
ORD-100554,CUST-0123,2025-02-03,Alberta,Magasin,Beauté,Maquillage,2,149.49,0.0
ORD-104898,CUST-0731,2025-03-13,Alberta,Téléphone,Beauté,Maquillage,2,72.8,0.0
ORD-106257,CUST-1070,2025-10-05,Manitoba,Téléphone,Beauté,Shampoing,1,39.36,0.0
ORD-100101,CUST-0517,2025-09-26,Ontario,Magasin,Beauté,Soin visage,3,44.35,0.0
ORD-105174,CUST-1453,2024-02-06,Alberta,En ligne,Maison,Cafetière,2,-237.97,0.05
ORD-103980,CUST-1317,2025-12-03,Ontario,Téléphone,Électronique,Souris,2,485.31,0.1
ORD-106807,CUST-1183,2024-04-04,Alberta,En ligne,Sports,Raquette,2,293.65,0.0
ORD-103534,CUST-1320,2024-07-31,Alberta,En ligne,Maison,Cafetière,1,131.73,0.0
ORD-102031,CUST-1077,2024-04-27,Manitoba,Téléphone,Maison,Cafetière,2,346.67,0.0
ORD-106589,CUST-1176,2025-12-20, colombie-britannique ,Téléphone,Beauté,Soin visage,1,103.45,0.1
ORD-102124,CUST-1364,2025-05-30,Colombie-Britannique,En ligne,Sports,Ballon,1,689.96,0.05
ORD-107493,CUST-1182,2024-08-22,Alberta,Téléphone,Vêtements,T-shirt,1,218.48,0.05
ORD-101346,CUST-1156,2025-04-09,Alberta,En ligne,Électronique,Clavier,3,691.96,0.15
ORD-100318,CUST-1226,2025-03-19,Ontario,Téléphone,Vêtements,Manteau,4,113.58,0.0
ORD-105893,CUST-0318,2024-09-27,Ontario,Magasin,Maison,Mixeur,1,137.27,0.15
ORD-100429,CUST-1237,2024-05-16,Alberta,Magasin,Maison,Lampe,2,471.74,0.15
ORD-105286,CUST-1093,2024-08-11,Québec,En ligne,Électronique,Écran,2,131.71,0.0
ORD-107986,CUST-1230,2024-04-30,Alberta,En ligne,Vêtements,Jean,1,194.92,0.15
ORD-100518,CUST-0122,2025-03-07,Colombie-Britannique,Magasin,Sports,Sac sport,2,459.04,0.0
ORD-106382,CUST-1136,2025-11-17,Québec,Téléphone,Beauté,Soin visage,2,78.52,0.0
ORD-104450,CUST-1034,2024-12-12,Manitoba,Téléphone,Électronique,Casque audio,1,131.52,0.1
ORD-104031,CUST-0340,2025-06-14,Colombie-Britannique,En ligne,Vêtements,Jean,3,229.0,0.15
ORD-101803,CUST-0091,2025-02-17,Québec,Magasin,Électronique,Tablette,1,399.23,0.0
ORD-101180,CUST-0479,2025-05-01,Alberta,En ligne,Beauté,Soin visage,1,139.14,0.15
ORD-104291,CUST-1121,2024-07-28,Colombie-Britannique,En ligne,Vêtements,T-shirt,3,39.55,0.1
ORD-105656,CUST-1219,2025-10-13,Colombie-Britannique,En ligne,Électronique,Casque audio,3,726.84,0.0
ORD-107228,CUST-0060,2024-07-07,Québec,Téléphone,Maison,Lampe,2,236.97,0.1
ORD-103693,CUST-1347,2025-09-20,Ontario,Magasin,Sports,Sac sport,2,204.32,0.05
ORD-102648,CUST-0051,2024-01-27,Manitoba,En ligne,Maison,Cafetière,2,377.92,0.0
ORD-105074,CUST-1193,2025-06-15,Alberta,Magasin,Sports,Vélo,2,524.55,0.05
ORD-102554,CUST-0016,2024-05-20,Colombie-Britannique,Téléphone,Électronique,Tablette,1,811.02,0.0
ORD-101412,CUST-0720,2024-03-03,Québec,En ligne,Vêtements,T-shirt,1,144.1,0.05
ORD-106532,CUST-0595,2024-09-05,Québec,Magasin,Beauté,Maquillage,3,89.03,0.05
ORD-101010,CUST-1498,2024-06-09,Québec,Magasin,Maison,Aspirateur,4,219.2,0.0
ORD-102882,CUST-1141,2024-12-07, ontario ,Téléphone,Sports,Tapis yoga,3,196.15,0.05
ORD-102540,CUST-0013,2024-09-19,Québec,En ligne,Beauté,,1,168.41,0.0
ORD-102809,CUST-0765,2025-09-15,Québec,Magasin,Sports,Ballon,1,549.25,0.15
ORD-101928,CUST-0995,2024-08-10,Colombie-Britannique,Magasin,Vêtements,Jean,1,146.91,0.2
ORD-100682,CUST-0732,2024-12-17,Colombie-Britannique,En ligne,Beauté,Shampoing,1,126.04,0.05
ORD-103971,CUST-0081,2024-07-26,Ontario,En ligne,Sports,Raquette,2,196.7,0.1
ORD-102515,CUST-0715,2025-02-01,Ontario,Téléphone,Maison,Aspirateur,1,142.52,0.0
ORD-107941,CUST-1185,2024-04-17,Colombie-Britannique,Magasin,Électronique,Écran,1,336.52,0.05
ORD-104793,CUST-1389,2024-10-06,Alberta,Téléphone,Sports,Tapis yoga,1,191.25,0.05
ORD-104796,CUST-0836,2024-11-14,,En ligne,Beauté,Soin visage,4,192.64,0.0
ORD-100748,CUST-1126,2024-02-15,Ontario,Téléphone,Électronique,Écran,1,227.9,0.05
ORD-107944,CUST-0781,2024-02-05,Ontario,En ligne,Beauté,Parfum,1,153.6,0.1
ORD-102718,CUST-0570,2024-04-17,Alberta,Magasin,Électronique,Clavier,2,394.96,0.05
ORD-107958,CUST-0698,2025-07-15,Ontario,Magasin,Sports,Tapis yoga,1,615.45,0.0
ORD-101074,CUST-1405,2025-07-14,Québec,Magasin,Sports,Raquette,1,635.51,0.05
ORD-107900,CUST-0223,2025-11-28,Québec,Téléphone,Électronique,Souris,1,864.64,0.05
ORD-102833,CUST-0230,2024-03-25,Ontario,Magasin,Électronique,Souris,2,84.06,0.1
ORD-101103,CUST-0886,2025-04-08,Manitoba,Magasin,Vêtements,T-shirt,2,49.27,0.0
ORD-106698,CUST-0245,2025-01-15,Colombie-Britannique,En ligne,Maison,Mixeur,2,318.63,0.1
ORD-106086,CUST-0677,2024-04-10,Alberta,En ligne,Électronique,Tablette,1,105.11,0.0
ORD-101535,CUST-1321,2025-12-27,,En ligne,Électronique,Tablette,2,41.71,0.05
ORD-104441,CUST-1278,2025-07-03,Manitoba,En ligne,Électronique,Tablette,1,120.22,0.0
ORD-104012,CUST-1339,2024-02-21,Ontario,Magasin,Beauté,Maquillage,2,90.36,0.0
ORD-104664,CUST-0275,2025-02-26,Alberta,Magasin,Électronique,Écran,2,509.86,0.05
ORD-107263,CUST-0547,2025-07-12,Colombie-Britannique,Magasin,Électronique,Clavier,1,303.57,0.05
ORD-107030,CUST-0618,2024-08-24,Manitoba,En ligne,Maison,Chaise,1,443.15,0.0
ORD-100263,CUST-0704,2024-09-17,Colombie-Britannique,En ligne,Beauté,Soin visage,2,125.42,0.05
ORD-106245,CUST-0835,2024-05-12,Ontario,Téléphone,Beauté,Shampoing,2,206.17,0.0
ORD-107087,CUST-1082,2025-03-22,Ontario,Téléphone,Électronique,Tablette,3,456.76,0.0
ORD-101406,CUST-0168,2025-07-19,Alberta,Téléphone,Électronique,Tablette,2,52.73,-0.1
ORD-102517,CUST-0446,2025-04-14,Manitoba,Magasin,Beauté,Maquillage,4,111.92,0.05
ORD-102670,CUST-1197,2025-06-06,Manitoba,Téléphone,Maison,Lampe,3,305.86,0.05
ORD-101862,CUST-1062,2024-12-28,Manitoba,Magasin,Vêtements,Veste,1,177.21,0.05
ORD-103000,CUST-0418,2024-10-10,Québec,Magasin,Beauté,Parfum,2,146.2,0.05
ORD-103076,CUST-0910,2024-08-14,Alberta,En ligne,Beauté,Soin visage,1,35.14,0.1
ORD-107862,CUST-0620,2024-03-24,Colombie-Britannique,En ligne,Maison,Aspirateur,2,170.65,0.2
ORD-107956,CUST-0729,2025-08-29,Québec,Téléphone,Maison,Chaise,2,338.7,0.1
ORD-101940,CUST-1390,2024-03-22,Manitoba,Téléphone,Sports,Sac sport,1,148.6,0.0
ORD-101018,CUST-0166,2025-11-30,Ontario,Téléphone,Électronique,Tablette,4,830.69,0.0
ORD-101034,CUST-0828,2025-04-30,Québec,Magasin,Sports,Raquette,2,201.52,0.0
ORD-106569,CUST-1030,2025-10-05,Alberta,Magasin,Maison,Cafetière,1,269.5,0.05
ORD-102647,CUST-0186,2025-06-07,Québec,En ligne,Électronique,Souris,4,424.41,0.1
ORD-101183,CUST-0870,2024-08-11,Colombie-Britannique,En ligne,Beauté,Parfum,2,224.99,0.0
ORD-107431,CUST-0615,2024-06-23,Alberta,Magasin,Vêtements,Jean,1,185.18,0.0
ORD-106973,CUST-1356,2024-06-19,Alberta,Magasin,Beauté,Shampoing,1,227.72,0.15
ORD-101740,CUST-0693,2025-09-07,Manitoba,En ligne,Maison,Lampe,4,184.37,0.2
ORD-102132,CUST-0691,2024-12-21,Manitoba,Téléphone,Beauté,Soin visage,2,158.7,0.0
ORD-101078,CUST-0279,2025-03-15,Colombie-Britannique,Magasin,Maison,Aspirateur,1,495.71,0.0
ORD-103954,CUST-0188,2025-05-07,Alberta,En ligne,Sports,Tapis yoga,1,268.14,0.05
ORD-103455,CUST-1267,2024-12-19,Colombie-Britannique,En ligne,Électronique,Souris,1,691.15,0.05
ORD-103698,CUST-1107,2025-07-19,Ontario,Téléphone,Maison,Mixeur,1,228.71,0.05
ORD-105427,CUST-0752,2025-10-09,Manitoba,Magasin,Beauté,Parfum,3,166.82,0.1
ORD-105112,CUST-0014,2025-03-10,Ontario,Téléphone,Sports,Sac sport,1,56.99,0.05
ORD-104353,CUST-0966,2025-06-28,Québec,En ligne,Maison,Mixeur,4,484.49,0.15
ORD-105055,CUST-0736,2024-05-15,Ontario,Magasin,Maison,Aspirateur,1,221.08,0.0
ORD-103639,CUST-1495,2024-06-18,Alberta,En ligne,Sports,Vélo,1,554.37,0.0
ORD-101168,CUST-0020,2024-09-25,Manitoba,Téléphone,Maison,Cafetière,2,276.19,0.0
ORD-105787,CUST-1240,2024-04-22,Manitoba,Téléphone,Beauté,,1,12.4,0.15
ORD-103182,CUST-0122,2024-09-07,Manitoba,Téléphone,Beauté,Soin visage,2,66.86,0.1
ORD-107517,CUST-0479,2024-01-10,Manitoba,Téléphone,Beauté,Parfum,1,72.95,0.05
ORD-105196,CUST-0611,2025-03-21,Ontario,Téléphone,Vêtements,Jean,1,175.41,0.0
ORD-106648,CUST-0141,2024-01-06,Colombie-Britannique,Magasin,Maison,Chaise,2,373.43,0.0
ORD-107850,CUST-0667,2025-02-02,Ontario,Téléphone,Maison,Cafetière,3,483.97,0.0
ORD-101615,CUST-0206,2025-07-08,Colombie-Britannique,Magasin,Maison,Aspirateur,2,239.88,0.1
ORD-100730,CUST-1102,2024-11-21,Ontario,Magasin,Maison,Chaise,3,121.27,0.15
ORD-107564,CUST-0581,2025-09-09,Québec,Téléphone,Sports,Tapis yoga,4,45.17,0.05
ORD-103649,CUST-0142,2024-09-23,Québec,Téléphone,Sports,Tapis yoga,1,57.48,0.0
ORD-103852,CUST-1207,2024-12-02,Ontario,Téléphone,Sports,Raquette,3,439.46,0.05
ORD-104927,CUST-1054,2025-01-08,Alberta,Magasin,Beauté,Maquillage,2,110.77,0.05
ORD-102662,CUST-0295,2025-01-30,Manitoba,En ligne,Sports,Sac sport,3,583.14,0.15
ORD-104367,CUST-1476,2024-07-22,Québec,Magasin,Maison,Cafetière,2,482.59,0.0
ORD-101643,CUST-1248,2024-10-04,Colombie-Britannique,Téléphone,Électronique,Clavier,3,706.36,0.05
ORD-104317,CUST-1417,2025-05-11,Québec,En ligne,Maison,Chaise,2,406.26,0.1
ORD-103165,CUST-1154,2024-09-28,Alberta,Téléphone,Beauté,Maquillage,4,48.87,0.1
ORD-101672,CUST-0862,2025-11-29,Manitoba,Magasin,Électronique,Clavier,1,689.54,0.05
ORD-107870,CUST-1112,2025-07-14,Ontario,Téléphone,Beauté,Soin visage,3,140.04,0.0
ORD-107020,CUST-0378,2024-12-10,Alberta,Magasin,Maison,Mixeur,2,443.12,0.2
ORD-103123,CUST-1177,2025-05-05,Alberta,Téléphone,Électronique,,2,675.1,0.05
ORD-105099,CUST-0905,2024-01-02,Colombie-Britannique,Téléphone,Sports,Sac sport,1,561.46,0.15
ORD-101533,CUST-0109,2024-09-19,Québec,Téléphone,Maison,Mixeur,1,414.93,0.1
ORD-101061,CUST-0931,2025-02-03,Alberta,En ligne,Maison,Lampe,2,290.81,0.05
ORD-105546,CUST-1103,2025-08-27,Ontario,Magasin,Électronique,Écran,1,124.87,0.1
ORD-107204,CUST-0549,2024-01-16,Alberta,Téléphone,Vêtements,T-shirt,1,32.57,0.15
ORD-102917,CUST-0151,2025-08-15,Ontario,Téléphone,Électronique,Casque audio,1,37.36,0.0
ORD-101728,CUST-0212,2024-03-16,Québec,Téléphone,Électronique,Écran,5,490.82,0.05
ORD-103680,CUST-0572,2025-02-17,Ontario,En ligne,Sports,Vélo,4,48.4,0.05
ORD-100023,CUST-0263,2024-05-23,Ontario,Magasin,Vêtements,T-shirt,1,278.54,0.15
ORD-106020,CUST-1016,2025-10-22,Ontario,En ligne,Sports,Vélo,1,171.31,0.1
ORD-107483,CUST-1109,2024-06-22,Colombie-Britannique,En ligne,Beauté,Soin visage,3,91.4,0.1
ORD-104019,CUST-0820,2024-08-30,Manitoba,En ligne,Électronique,Clavier,2,62.67,0.1
ORD-102760,CUST-1318,2024-04-04,Manitoba,Téléphone,Maison,Chaise,1,77.17,0.0
ORD-105720,CUST-0714,2024-02-05,Québec,En ligne,Sports,Raquette,5,621.45,0.05
ORD-106488,CUST-0302,2024-02-17,Alberta,Magasin,Électronique,Tablette,2,866.25,0.0
ORD-102420,CUST-1369,2024-06-27,Québec,Magasin,Vêtements,T-shirt,2,25.12,0.2
ORD-106394,CUST-1285,2025-01-03,Québec,En ligne,Beauté,Shampoing,2,177.09,0.05
ORD-104816,CUST-0954,2024-03-06,Québec,En ligne,Beauté,Crème,2,203.8,0.15
ORD-100858,CUST-1228,2024-08-25,Alberta,Téléphone,Maison,Lampe,2,324.2,0.0
ORD-104970,CUST-1188,2025-02-01,Colombie-Britannique,En ligne,Beauté,Maquillage,1,82.5,0.1
ORD-104498,CUST-0140,2024-02-24,Manitoba,En ligne,Maison,Mixeur,1,445.22,0.0
ORD-107320,CUST-0126,2024-09-22,Québec,En ligne,Vêtements,Manteau,4,61.4,0.05
ORD-102087,CUST-0333,2024-11-05,Colombie-Britannique,Magasin,Maison,Aspirateur,4,211.28,0.1
ORD-104994,CUST-0528,2024-11-05,Alberta,Téléphone,Électronique,Clavier,1,601.91,0.15
ORD-104231,CUST-0257,2024-10-30,Alberta,En ligne,Vêtements,T-shirt,2,227.03,0.05
ORD-100065,CUST-0358,2025-02-11,Colombie-Britannique,Magasin,Sports,Ballon,4,671.71,0.0
ORD-103290,CUST-1372,2024-09-28,Colombie-Britannique,Téléphone,Sports,Sac sport,4,305.44,0.0
ORD-104303,CUST-0702,2025-12-24,Manitoba,En ligne,Électronique,,2,260.08,0.05
ORD-100487,CUST-0932,2025-04-25,Québec,Téléphone,Beauté,Crème,3,160.56,0.1
ORD-100453,CUST-1402,2025-09-13,Manitoba,Téléphone,Sports,Raquette,1,199.62,0.0
ORD-105294,CUST-0658,2024-11-30,Manitoba,En ligne,Maison,Cafetière,1,342.19,0.0
ORD-102453,CUST-0265,2025-03-15,Québec,Magasin,Beauté,Soin visage,2,204.68,0.0
ORD-106664,CUST-0928,2025-02-11,Colombie-Britannique,Magasin,Beauté,Soin visage,2,101.09,0.05
ORD-103731,CUST-0896,2024-03-23,Manitoba,Magasin,Maison,Cafetière,5,111.05,0.15
ORD-104461,CUST-0454,2025-08-17,Ontario,Téléphone,Sports,Ballon,2,235.52,0.0
ORD-104936,CUST-0096,2024-10-18,Québec,Téléphone,Vêtements,T-shirt,1,268.44,0.1
ORD-105834,CUST-0631,2024-03-28,Ontario,En ligne,Beauté,Parfum,1,98.89,0.0
ORD-106552,CUST-0826,2024-05-22,Alberta,Téléphone,Électronique,Clavier,1,261.93,0.0
ORD-104370,CUST-1293,2025-03-12,Alberta,En ligne,Vêtements,Veste,2,219.55,0.15
ORD-107092,CUST-0425,2025-07-27,Colombie-Britannique,Magasin,Vêtements,Jean,4,172.42,0.0
ORD-106770,CUST-0065,2025-02-02,Colombie-Britannique,En ligne,Sports,Vélo,3,422.85,0.0
ORD-101479,CUST-0843,2024-11-30,Ontario,Téléphone,Électronique,Souris ,2,472.66,0.0
ORD-102268,CUST-1257,2025-07-26,Manitoba,Téléphone,Vêtements,Jean,1,49.25,0.15
ORD-101954,CUST-1420,2025-08-05,Québec,Magasin,Maison,Aspirateur,3,236.58,0.0
